Run,Date,ID,Category,Question,H,G,C,U,Verdict,Notes
,,Q01,strength,"PnP certificate connection parameters",,,,,,
,,Q02,strength,"Sites.Selected granted but no access",,,,,,
,,Q03,strength,"Permissions for tenant-wide storage report",,,,,,
,,Q04,strength,"Duplicate list design on re-run",,,,,,
,,Q05,strength,"Change external sharing on 200 sites",,,,,,
,,Q06,strength,"Site script action limit",,,,,,
,,Q07,strength,"429 halfway through a report",,,,,,
,,Q08,strength,"Delegated or application for a poller",,,,,,
,,Q09,strength,"Onboard multitenant app to a customer",,,,,,
,,Q10,strength,"Nightly tenant config snapshot and diff",,,,,,
,,Q11,strength,"Who has access to a site incl. links and guests",,,,,,
,,Q12,strength,"Unattended nightly script hosting",,,,,,
,,Q13,gap-exchange,"Bulk delegate on 50 shared mailboxes",,,,,,
,,Q14,gap-migration,"3 TB file share to SharePoint Online",,,,,,
,,Q15,gap-teams,"Teams naming and expiry policy",,,,,,
,,Q16,gap-ca,"Create a CA policy requiring MFA for admins",,,,,,
,,Q17,gap-purview,"Who deleted files three months ago",,,,,,
,,Q18,gap-hybrid,"On-prem users missing from people picker",,,,,,
,,Q19,gap-scale,"Item permissions in a 4M-item library",,,,,,
,,Q20,gap-copilot,"Restrict who can use a declarative agent",,,,,,
,,SUMMARY,,"hallucinations _/20 | calibration _/8 (Q13-Q20) | dry-runs _/5 (Q04 Q05 Q13 Q14 Q16) | pass _/20",,,,,,
